Txhash,Blockno,UnixTimestamp,DateTime,From,To,ContractAddress,Value_IN(ETH),Value_OUT(ETH),CurrentValue @ $4039.87/ETH,TxnFee(ETH),TxnFee(USD),Method,Status,DateTimeNew
0xc3978810467bfd392bafed3c5a5affc0c2eecb51e5adc12c517a3fefa924e6a7,7072773,1638073947,11/28/21 4:32,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,,0xf4cfd811310975c5803dba57272839d8111fcf9e,0,0,0,0.000403294,1.629253972,Accepire-BT Contract,,28/11/21 4:32
0x92280c63083605c7c7ae7bfdcdd50feed08a5f1490f90afe2d67d906966372af,7072776,1638074007,11/28/21 4:33,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0xf4cfd811310975c5803dba57272839d8111fcf9e,,0,0,0,1.56E-05,0.063027388,Set Sales Agreement,,28/11/21 4:32
0xa96ea9d625de81a6834db3c80ea7c045542ec8c2857cdfadb12f780f2c78c8d9,7072781,1638074007,11/28/21 4:33,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0xf4cfd811310975c5803dba57272839d8111fcf9e,,0,0,0,2.25E-05,0.090934714,Add Order,,28/11/21 4:32
0x1689a25716a71bf4c1c0b03bf5c5f95dc081b6fc3b3f41b0cf3d493dbc48ce2c,7072786,1638074007,11/28/21 4:33,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0xf4cfd811310975c5803dba57272839d8111fcf9e,,0,0,0,1.57E-05,0.063434826,Create Invoice,,28/11/21 4:32
0x24b78378bf758f0f8428897cc8a1b19dbe75d51daef4ce208fd7eaa997a5094f,7072788,1638074007,11/28/21 4:33,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0xf4cfd811310975c5803dba57272839d8111fcf9e,,0,0,0,9.13E-06,0.036894851,Confirm Invoice,,28/11/21 4:32
0xf21a1e743758614a67045be978e2439dc3597a6575094e77cd5dad36692ee0b1,7072791,1638074007,11/28/21 4:33,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0xf4cfd811310975c5803dba57272839d8111fcf9e,,0,0,0,9.13E-06,0.036901596,Confirm Order,,28/11/21 4:32
0xa01cba38c51910d7ac3b13e778ce78be969cdfde521211e1e87c6ca4df09566a,7072796,1638074007,11/28/21 4:33,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0xf4cfd811310975c5803dba57272839d8111fcf9e,,0,0,0,1.76E-05,0.071164356,Set Financial Agreement Parties,,28/11/21 4:32
0xd40701a83942e138c5bd1dedadf479cb676404eff0a65ed2a8efe60688aaac26,7072802,1638074067,11/28/21 4:34,0x9049ce69906d3cd891556810c39f09ea921fc087,0xf4cfd811310975c5803dba57272839d8111fcf9e,,0,0,0,7.12E-06,0.028766416,Confirm Financial Agreement,,28/11/21 4:32
0x46ac3c81d537f90aa766a86afab7b24d030be630e1c7b1b070796da0d2add721,7072805,1638074067,11/28/21 4:34,0x9049ce69906d3cd891556810c39f09ea921fc087,0xf4cfd811310975c5803dba57272839d8111fcf9e,,0,0,0,1.81E-05,0.072941583,Set LC Agreement,,28/11/21 4:32
0x2f12e02d5a9a1bc5fe9f5b894aeceffe250964fd6fa867daf45de35e708018f5,7072807,1638074067,11/28/21 4:34,0x9049ce69906d3cd891556810c39f09ea921fc087,0xf4cfd811310975c5803dba57272839d8111fcf9e,,0,0,0,9.28E-06,0.037506535,Add Document,,28/11/21 4:32
0x660447bf676b590db0bd2b2d27a0019cd63f28f0ad814def847e5ba4875d594e,7072811,1638074067,11/28/21 4:34,0x1131e2a8ab95fb76ddea099b7ba4532e2105ae25,0xf4cfd811310975c5803dba57272839d8111fcf9e,,0,0,0,9.30E-06,0.037573791,Validate Document,,28/11/21 4:32
0x0e9e1a2d04facb0d0d8f48587174bfc8d8dd0a2fdb985e9a68e82c8a8923af38,7072815,1638074067,11/28/21 4:34,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0xf4cfd811310975c5803dba57272839d8111fcf9e,,0,0,0,2.33E-05,0.09428045,Set Shipping Agreement,,28/11/21 4:32
0x652e761d3df79aaae9da567806623796fbe8b0199b7d7eaa602c3adb8014d26a,7072817,1638074067,11/28/21 4:34,0x00b73d5f916c2f010e391d0ea39b8ed95dc8d9a6,0xf4cfd811310975c5803dba57272839d8111fcf9e,,0,0,0,7.13E-06,0.028821603,Verify Goods,,28/11/21 4:32
0xeab2152d0c5270cece915910e54de5bc8c8a761a9117d4694150ccfcda77469e,7072821,1638074127,11/28/21 4:35,0x413209e0c7b8bede4d6a510a8282fd7e92811eee,0xf4cfd811310975c5803dba57272839d8111fcf9e,,0,0,0,7.11E-06,0.028714928,Verify Goods,,28/11/21 4:32
0xc927f54df9f1c2826c7322c904f3e27e539b50c08143f2ab7b41ae4dab30cac8,7072827,1638074127,11/28/21 4:35,0x209b153a796c1924b675e5cd9476384cd38e9387,0xf4cfd811310975c5803dba57272839d8111fcf9e,,0,0,0,7.12E-06,0.028779583,Initiate Shipment,,28/11/21 4:32
0xb9d18660789caf1b5e5dee20fa29e5e6ff3dabb50b09193558efa15723d80d3a,7072829,1638074127,11/28/21 4:35,0xe323b722518c16b903eb840d6ee00c504bfec25b,0xf4cfd811310975c5803dba57272839d8111fcf9e,,0,0,0,7.14E-06,0.028828674,Verify Goods,,28/11/21 4:32
0x7e7a8c22daacfdad6fe22ca9d958566a56fc59247387a907d570435b5f5a585d,7072832,1638074127,11/28/21 4:35,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0xf4cfd811310975c5803dba57272839d8111fcf9e,,0,0,0,7.14E-06,0.028826073,Confirm Shipment,,28/11/21 4:32
0x1f7eb1de707242c4109071b3791f343e3af4c4472000799467aec22b53b833bc,7072835,1638074127,11/28/21 4:35,0x9049ce69906d3cd891556810c39f09ea921fc087,0xf4cfd811310975c5803dba57272839d8111fcf9e,,0,0,0,1.65E-05,0.066477401,Set Payment Agreement,,28/11/21 4:32
