Txhash,Blockno,UnixTimestamp,DateTime,From,To,ContractAddress,Value_IN(ETH),Value_OUT(ETH),CurrentValue @ $4426.75/ETH,TxnFee(ETH),TxnFee(USD),Method,Status,DateTimeNow
0x6bcf37c3a91c4d3916d620fa3bc3c8a6a5c69a4b37e385fdfe1d16373daa6bb7,7008302,1637843422,11/25/21 12:30,0x1131e2a8ab95fb76ddea099b7ba4532e2105ae25,0xcec37c37ed248847fa921d5d3e7eb462d8a413e6,,0,0,0,9.44E-06,0.041777772,Validate Document,,25/11/21 12:29
0xce9cca11b6ccdde2b70e1fe1dcf7a41b22515d29f7fcc70e12628daa34c17073,7008306,1637843422,11/25/21 12:30,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0xcec37c37ed248847fa921d5d3e7eb462d8a413e6,,0,0,0,2.37E-05,0.104891888,Set Shipping Agreement,,25/11/21 12:29
0x297b14ab51a73ad21fbad4930c75027e6c92a1a3cb137dfe342912cb30229f2f,7008308,1637843482,11/25/21 12:31,0x00b73d5f916c2f010e391d0ea39b8ed95dc8d9a6,0xcec37c37ed248847fa921d5d3e7eb462d8a413e6,,0,0,0,7.24E-06,0.032046494,Verify Goods,,25/11/21 12:29
0x00c035d32ff0cd3099062577529cb311e24c9e09e2967ca7c54f750e1fbce222,7008312,1637843482,11/25/21 12:31,0x413209e0c7b8bede4d6a510a8282fd7e92811eee,0xcec37c37ed248847fa921d5d3e7eb462d8a413e6,,0,0,0,7.23E-06,0.031990239,Verify Goods,,25/11/21 12:29
0x0f2a13629990027c867fa815f30724e870108d4c3bd30b89de05adf272916611,7008314,1637843482,11/25/21 12:31,0x209b153a796c1924b675e5cd9476384cd38e9387,0xcec37c37ed248847fa921d5d3e7eb462d8a413e6,,0,0,0,7.24E-06,0.032062127,Initiate Shipment,,25/11/21 12:29
0x9c69ac222f47a0174f38992b5459821198b42c8464624f526a1a7cd4725b1729,7008317,1637843482,11/25/21 12:31,0xe323b722518c16b903eb840d6ee00c504bfec25b,0xcec37c37ed248847fa921d5d3e7eb462d8a413e6,,0,0,0,7.21E-06,0.031929647,Verify Goods,,25/11/21 12:29
0xa0c69b4953f84f887dfa39624021cd35e1858c5428718bf88e1015583adbcc87,7008320,1637843482,11/25/21 12:31,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0xcec37c37ed248847fa921d5d3e7eb462d8a413e6,,0,0,0,7.23E-06,0.031989065,Confirm Shipment,,25/11/21 12:29
0xbe1cbc18e4019e0035bd63906e1e53b2bb05289227c3bab7d0a4ffe4fc4f935c,7008322,1637843482,11/25/21 12:31,0x9049ce69906d3cd891556810c39f09ea921fc087,0xcec37c37ed248847fa921d5d3e7eb462d8a413e6,,0,0,0,1.67E-05,0.073913911,Set Payment Agreement,,25/11/21 12:29
0x0fcf04257cb543ccceb887d2941d6d8a86527bfe4cdbfe90356f6e93da982462,7008324,1637843542,11/25/21 12:32,0x9049ce69906d3cd891556810c39f09ea921fc087,0xcec37c37ed248847fa921d5d3e7eb462d8a413e6,,0,0,0,7.21E-06,0.031928518,Initiate Payment,,25/11/21 12:29
0x0d829e1d2a1bbd2c6ccd85004df4703da4f65f7b3624d2f3f135650fa087cea1,7008329,1637843542,11/25/21 12:32,0x1131e2a8ab95fb76ddea099b7ba4532e2105ae25,0xcec37c37ed248847fa921d5d3e7eb462d8a413e6,,0,0,0,7.23E-06,0.031989065,Processpayment,,25/11/21 12:29
0x7f01c3b9465730f794c592602740be3c45570db2cd3602523cfae589b82aeea6,7008333,1637843542,11/25/21 12:32,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0xcec37c37ed248847fa921d5d3e7eb462d8a413e6,,0,0,0,7.21E-06,0.031932313,Payment Received,,25/11/21 12:29
