Txhash,Blockno,UnixTimestamp,DateTime,From,To,ContractAddress,Value_IN(ETH),Value_OUT(ETH),CurrentValue @ $4423.59/ETH,TxnFee(ETH),TxnFee(USD),Method,Status,DateTimeNew
0x74fbc727ffbcf8fa88abd67f05fb0faaf85268ecaa3432789f5c30b849720d91,7023751,1637907409,11/26/21 6:16,0x1131e2a8ab95fb76ddea099b7ba4532e2105ae25,0x6558bf295c9596d95a6106a624724014131e5332,,0,0,0,9.36E-06,0.04140884,Validate Document,,26/11/21 6:14
0xe7f3eab10e48fc5b3015151f11fb80d430e907bca2028eedcb47857102a0c31e,7023755,1637907424,11/26/21 6:17,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0x6558bf295c9596d95a6106a624724014131e5332,,0,0,0,2.35E-05,0.103902923,Set Shipping Agreement,,26/11/21 6:14
0xd964f49c9f9738dbc10e9c1bf8e44838b33fce705306f1115bf3afd2335b600f,7023758,1637907424,11/26/21 6:17,0x00b73d5f916c2f010e391d0ea39b8ed95dc8d9a6,0x6558bf295c9596d95a6106a624724014131e5332,,0,0,0,7.18E-06,0.03176354,Verify Goods,,26/11/21 6:14
0x8a542834c4574920cba1d405f1bb5747bb3bc79bdbac4a3e3c5ce2e0c4c43d52,7023766,1637907424,11/26/21 6:17,0x413209e0c7b8bede4d6a510a8282fd7e92811eee,0x6558bf295c9596d95a6106a624724014131e5332,,0,0,0,7.18E-06,0.031769586,Verify Goods,,26/11/21 6:14
0x15549d881b7184dc15497e584ffa54b1ee5999c6d36e5053155358bd54c25476,7023767,1637907424,11/26/21 6:17,0x209b153a796c1924b675e5cd9476384cd38e9387,0x6558bf295c9596d95a6106a624724014131e5332,,0,0,0,7.16E-06,0.03165543,Initiate Shipment,,26/11/21 6:14
0xe80a783f6f2636e6288aea8b196611f7ff4f386a9652cf2db988c48014e3845a,7023771,1637907424,11/26/21 6:17,0xe323b722518c16b903eb840d6ee00c504bfec25b,0x6558bf295c9596d95a6106a624724014131e5332,,0,0,0,7.15E-06,0.031647727,Verify Goods,,26/11/21 6:14
0x0bf903e5fbee8539b2af9eae7516dd9c915ffee224784cd2262e9019ea6563b2,7023772,1637907424,11/26/21 6:17,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x6558bf295c9596d95a6106a624724014131e5332,,0,0,0,7.15E-06,0.031644861,Confirm Shipment,,26/11/21 6:14
0xd1dd136376b2c443ea637bb648a036495f059c1d363aa3ba69f3e7cd4f496864,7023775,1637907424,11/26/21 6:17,0x9049ce69906d3cd891556810c39f09ea921fc087,0x6558bf295c9596d95a6106a624724014131e5332,,0,0,0,1.66E-05,0.073259664,Set Payment Agreement,,26/11/21 6:14
0xcb3bd7606227710c6576f2e11fa34e75a188f8124d255208a952c02b61057d15,7023779,1637907484,11/26/21 6:18,0x9049ce69906d3cd891556810c39f09ea921fc087,0x6558bf295c9596d95a6106a624724014131e5332,,0,0,0,7.15E-06,0.031646608,Initiate Payment,,26/11/21 6:14
0xf217d25e92fe1d25206db770e4f206fc5be99611ef18448b0ba0db9f4e823711,7023782,1637907484,11/26/21 6:18,0x1131e2a8ab95fb76ddea099b7ba4532e2105ae25,0x6558bf295c9596d95a6106a624724014131e5332,,0,0,0,7.17E-06,0.031706664,Processpayment,,26/11/21 6:14
0x33395501e41a54af8b8aa626fd8e29be142520237a547978e52daba16c8b95ed,7023787,1637907484,11/26/21 6:18,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0x6558bf295c9596d95a6106a624724014131e5332,,0,0,0,7.14E-06,0.031588567,Payment Received,,26/11/21 6:14
